Setup done!
t683627, T49.0000000000, u2.0000000000
t684627, T49.0000000000, u2.0000000000
t685627, T49.0000000000, u2.0000000000
t686627, T49.0000000000, u2.0000000000
t687627, T49.0000000000, u2.0000000000
t688627, T49.2500000000, u2.0000000000
t689627, T49.0000000000, u2.0000000000
t690627, T49.2500000000, u2.0000000000
t691627, T49.2500000000, u2.0000000000
t692627, T49.2500000000, u2.0000000000
t693627, T49.2500000000, u2.0000000000
t694627, T49.2500000000, u2.0000000000
t695627, T49.2500000000, u2.0000000000
t696627, T49.2500000000, u2.0000000000
t697627, T49.2500000000, u2.0000000000
t698627, T49.2500000000, u2.0000000000
t699627, T49.2500000000, u2.0000000000
t700627, T49.2500000000, u2.0000000000
t701627, T49.2500000000, u2.0000000000
t702627, T49.2500000000, u2.0000000000
t703627, T49.2500000000, u2.0000000000
t704627, T49.2500000000, u2.0000000000
t705627, T49.2500000000, u2.0000000000
